Date,Time,State,Group,Unit,Sales,Sales_Outlier,Numerical_Time,Numerical_State,Numerical_Group,Sales_Range
2020-10-01,Morning,WA,Kids,0.09523809523809523,0.09523809523809523,False,0.0,0.0,0.0,0-25%
2020-10-01,Morning,WA,Men,0.09523809523809523,0.09523809523809523,False,0.0,0.0,0.3333333333333333,0-25%
2020-10-01,Morning,WA,Women,0.031746031746031744,0.031746031746031744,False,0.0,0.0,0.6666666666666666,0-25%
2020-10-01,Morning,WA,Seniors,0.20634920634920634,0.20634920634920637,False,0.0,0.0,1.0,50%-75%
2020-10-01,Afternoon,WA,Kids,0.015873015873015872,0.015873015873015872,False,0.5,0.0,0.0,0-25%
2020-10-01,Afternoon,WA,Men,0.12698412698412698,0.12698412698412698,False,0.5,0.0,0.3333333333333333,25%-50%
2020-10-01,Afternoon,WA,Women,0.015873015873015872,0.015873015873015872,False,0.5,0.0,0.6666666666666666,0-25%
2020-10-01,Afternoon,WA,Seniors,0.14285714285714285,0.14285714285714285,False,0.5,0.0,1.0,25%-50%
2020-10-01,Evening,WA,Kids,0.20634920634920634,0.20634920634920637,False,1.0,0.0,0.0,50%-75%
2020-10-01,Evening,WA,Men,0.20634920634920634,0.20634920634920637,False,1.0,0.0,0.3333333333333333,50%-75%
2020-10-01,Evening,WA,Women,0.015873015873015872,0.015873015873015872,False,1.0,0.0,0.6666666666666666,0-25%
2020-10-01,Evening,WA,Seniors,0.12698412698412698,0.12698412698412698,False,1.0,0.0,1.0,25%-50%
2020-10-01,Morning,NT,Kids,0.1746031746031746,0.1746031746031746,False,0.0,0.16666666666666666,0.0,25%-50%
2020-10-01,Morning,NT,Men,0.047619047619047616,0.047619047619047616,False,0.0,0.16666666666666666,0.3333333333333333,0-25%
2020-10-01,Morning,NT,Women,0.031746031746031744,0.031746031746031744,False,0.0,0.16666666666666666,0.6666666666666666,0-25%
2020-10-01,Morning,NT,Seniors,0.12698412698412698,0.12698412698412698,False,0.0,0.16666666666666666,1.0,25%-50%
2020-10-01,Afternoon,NT,Kids,0.1746031746031746,0.1746031746031746,False,0.5,0.16666666666666666,0.0,25%-50%
2020-10-01,Afternoon,NT,Men,0.031746031746031744,0.031746031746031744,False,0.5,0.16666666666666666,0.3333333333333333,0-25%
2020-10-01,Afternoon,NT,Women,0.06349206349206349,0.06349206349206349,False,0.5,0.16666666666666666,0.6666666666666666,0-25%
2020-10-01,Afternoon,NT,Seniors,0.047619047619047616,0.047619047619047616,False,0.5,0.16666666666666666,1.0,0-25%
2020-10-01,Evening,NT,Kids,0.1746031746031746,0.1746031746031746,False,1.0,0.16666666666666666,0.0,25%-50%
2020-10-01,Evening,NT,Men,0.09523809523809523,0.09523809523809523,False,1.0,0.16666666666666666,0.3333333333333333,0-25%
2020-10-01,Evening,NT,Women,0.1111111111111111,0.1111111111111111,False,1.0,0.16666666666666666,0.6666666666666666,25%-50%
2020-10-01,Evening,NT,Seniors,0.19047619047619047,0.1904761904761905,False,1.0,0.16666666666666666,1.0,25%-50%
2020-10-01,Morning,SA,Kids,0.15873015873015872,0.15873015873015872,False,0.0,0.3333333333333333,0.0,25%-50%
2020-10-01,Morning,SA,Men,0.15873015873015872,0.15873015873015872,False,0.0,0.3333333333333333,0.3333333333333333,25%-50%
2020-10-01,Morning,SA,Women,0.2222222222222222,0.2222222222222222,False,0.0,0.3333333333333333,0.6666666666666666,50%-75%
2020-10-01,Morning,SA,Seniors,0.4126984126984127,0.41269841269841273,False,0.0,0.3333333333333333,1.0,75%-100%
2020-10-01,Afternoon,SA,Kids,0.2222222222222222,0.2222222222222222,False,0.5,0.3333333333333333,0.0,50%-75%
2020-10-01,Afternoon,SA,Men,0.4126984126984127,0.41269841269841273,False,0.5,0.3333333333333333,0.3333333333333333,75%-100%
2020-10-01,Afternoon,SA,Women,0.30158730158730157,0.30158730158730157,False,0.5,0.3333333333333333,0.6666666666666666,50%-75%
2020-10-01,Afternoon,SA,Seniors,0.42857142857142855,0.4285714285714286,False,0.5,0.3333333333333333,1.0,75%-100%
2020-10-01,Evening,SA,Kids,0.20634920634920634,0.20634920634920637,False,1.0,0.3333333333333333,0.0,50%-75%
2020-10-01,Evening,SA,Men,0.31746031746031744,0.31746031746031744,False,1.0,0.3333333333333333,0.3333333333333333,50%-75%
2020-10-01,Evening,SA,Women,0.47619047619047616,0.47619047619047616,False,1.0,0.3333333333333333,0.6666666666666666,75%-100%
2020-10-01,Evening,SA,Seniors,0.30158730158730157,0.30158730158730157,False,1.0,0.3333333333333333,1.0,50%-75%
2020-10-01,Morning,VIC,Kids,0.7460317460317459,0.746031746031746,False,0.0,0.5,0.0,75%-100%
2020-10-01,Morning,VIC,Men,0.5396825396825397,0.5396825396825397,False,0.0,0.5,0.3333333333333333,75%-100%
2020-10-01,Morning,VIC,Women,0.5079365079365079,0.5079365079365079,False,0.0,0.5,0.6666666666666666,75%-100%
2020-10-01,Morning,VIC,Seniors,0.38095238095238093,0.38095238095238093,False,0.0,0.5,1.0,50%-75%
2020-10-01,Afternoon,VIC,Kids,0.4603174603174603,0.46031746031746035,False,0.5,0.5,0.0,75%-100%
2020-10-01,Afternoon,VIC,Men,0.38095238095238093,0.38095238095238093,False,0.5,0.5,0.3333333333333333,50%-75%
2020-10-01,Afternoon,VIC,Women,0.38095238095238093,0.38095238095238093,False,0.5,0.5,0.6666666666666666,50%-75%
